SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.C.1.a	Administration and Management	52.781631499		All occ	23895.468597	0	All occupations	1	0
00-0000	2.C.1.a	Administration and Management	39.83427836		All occ	20527.068958	1	All occupations	1	0
00-0000	2.C.1.a	Administration and Management	37.341607932		All occ	20109.778544	2	All occupations	1	0
00-0000	2.C.1.a	Administration and Management	30.903729969		All occ	19503.704958	3	All occupations	1	0
00-0000	2.C.1.a	Administration and Management	60.313490774		All occ	37761.392126	0	All occupations	2	0
00-0000	2.C.1.a	Administration and Management	46.815484707		All occ	27629.164763	1	All occupations	2	0
00-0000	2.C.1.a	Administration and Management	40.249784256		All occ	26891.680073	2	All occupations	2	0
00-0000	2.C.1.a	Administration and Management	29.863921264		All occ	28573.167973	3	All occupations	2	0
00-0000	2.C.1.a	Administration and Management	65.240495094		All occ	53320.216163	0	All occupations	3	0
00-0000	2.C.1.a	Administration and Management	51.514637126		All occ	41398.689838	1	All occupations	3	0
00-0000	2.C.1.a	Administration and Management	44.837872353		All occ	39452.401607	2	All occupations	3	0
00-0000	2.C.1.a	Administration and Management	35.217137228		All occ	37054.006115	3	All occupations	3	0
00-0000	2.C.1.a	Administration and Management	74.967695119		All occ	89756.361812	0	All occupations	4	0
00-0000	2.C.1.a	Administration and Management	63.927710372		All occ	67873.225828	1	All occupations	4	0
00-0000	2.C.1.a	Administration and Management	56.178366307		All occ	62354.325768	2	All occupations	4	0
00-0000	2.C.1.a	Administration and Management	47.37980506		All occ	64580.613981	3	All occupations	4	0
00-0000	2.C.1.a	Administration and Management	73.599892965		All occ	106673.97453	0	All occupations	5	0
00-0000	2.C.1.a	Administration and Management	58.782113504		All occ	82713.849441	1	All occupations	5	0
00-0000	2.C.1.a	Administration and Management	52.943670658		All occ	77447.865119	2	All occupations	5	0
00-0000	2.C.1.a	Administration and Management	44.969748499		All occ	76245.738997	3	All occupations	5	0
00-0000	2.C.1.b	Clerical	42.434259469		All occ	23941.736729	0	All occupations	1	0
00-0000	2.C.1.b	Clerical	30.58806664		All occ	19352.927212	1	All occupations	1	0
00-0000	2.C.1.b	Clerical	24.79591131		All occ	21122.754092	2	All occupations	1	0
00-0000	2.C.1.b	Clerical	21.147614894		All occ	19620.270509	3	All occupations	1	0
00-0000	2.C.1.b	Clerical	65.66824458		All occ	33485.078955	0	All occupations	2	0
00-0000	2.C.1.b	Clerical	38.597668992		All occ	27822.860888	1	All occupations	2	0
00-0000	2.C.1.b	Clerical	29.755825015		All occ	28372.536073	2	All occupations	2	0
00-0000	2.C.1.b	Clerical	18.887199936		All occ	27196.214242	3	All occupations	2	0
00-0000	2.C.1.b	Clerical	73.697990423		All occ	41889.961786	0	All occupations	3	0
00-0000	2.C.1.b	Clerical	53.465680978		All occ	48511.647445	1	All occupations	3	0
00-0000	2.C.1.b	Clerical	44.254298528		All occ	42667.49445	2	All occupations	3	0
00-0000	2.C.1.b	Clerical	31.108569902		All occ	38035.308029	3	All occupations	3	0
00-0000	2.C.1.b	Clerical	66.396049577		All occ	61737.959614	0	All occupations	4	0
00-0000	2.C.1.b	Clerical	59.73882594		All occ	77420.719424	1	All occupations	4	0
00-0000	2.C.1.b	Clerical	52.728556837		All occ	66015.587665	2	All occupations	4	0
00-0000	2.C.1.b	Clerical	40.96947473		All occ	87175.301838	3	All occupations	4	0
00-0000	2.C.1.b	Clerical	62.71465103		All occ	80820.748257	0	All occupations	5	0
00-0000	2.C.1.b	Clerical	55.306379366		All occ	81998.992046	1	All occupations	5	0
00-0000	2.C.1.b	Clerical	50.402733477		All occ	104652.89752	2	All occupations	5	0
00-0000	2.C.1.b	Clerical	41.159063528		All occ	102098.58337	3	All occupations	5	0
00-0000	2.C.1.c	Economics and Accounting	31.374317937		All occ	20593.844209	0	All occupations	1	0
00-0000	2.C.1.c	Economics and Accounting	27.511019025		All occ	19772.723886	1	All occupations	1	0
00-0000	2.C.1.c	Economics and Accounting	23.468676678		All occ	19797.409399	2	All occupations	1	0
