SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	1.C.1.a	Achievement/Effort	74.735623171		All occ	24314.997241	0	All occupations	1	0
00-0000	1.C.1.a	Achievement/Effort	66.489325156		All occ	19459.59984	1	All occupations	1	0
00-0000	1.C.1.a	Achievement/Effort	63.069944919		All occ	21792.513441	2	All occupations	1	0
00-0000	1.C.1.a	Achievement/Effort	56.784410663		All occ	19809.849868	3	All occupations	1	0
00-0000	1.C.1.a	Achievement/Effort	78.959955045		All occ	27360.191418	0	All occupations	2	0
00-0000	1.C.1.a	Achievement/Effort	72.865853407		All occ	31078.265795	1	All occupations	2	0
00-0000	1.C.1.a	Achievement/Effort	68.314830086		All occ	29951.298669	2	All occupations	2	0
00-0000	1.C.1.a	Achievement/Effort	63.792896315		All occ	28859.199799	3	All occupations	2	0
00-0000	1.C.1.a	Achievement/Effort	83.561917907		All occ	46565.010279	0	All occupations	3	0
00-0000	1.C.1.a	Achievement/Effort	78.576464984		All occ	39502.175835	1	All occupations	3	0
00-0000	1.C.1.a	Achievement/Effort	75.5811179		All occ	46135.195656	2	All occupations	3	0
00-0000	1.C.1.a	Achievement/Effort	67.733796358		All occ	40061.540015	3	All occupations	3	0
00-0000	1.C.1.a	Achievement/Effort	86.600161459		All occ	67911.690492	0	All occupations	4	0
00-0000	1.C.1.a	Achievement/Effort	82.403566481		All occ	74572.22031	1	All occupations	4	0
00-0000	1.C.1.a	Achievement/Effort	79.393873731		All occ	73239.90232	2	All occupations	4	0
00-0000	1.C.1.a	Achievement/Effort	75.424168442		All occ	65413.073587	3	All occupations	4	0
00-0000	1.C.1.a	Achievement/Effort	90.487685347		All occ	95523.705923	0	All occupations	5	0
00-0000	1.C.1.a	Achievement/Effort	86.662272006		All occ	103067.16482	1	All occupations	5	0
00-0000	1.C.1.a	Achievement/Effort	82.448782289		All occ	79440.861096	2	All occupations	5	0
00-0000	1.C.1.a	Achievement/Effort	77.673327465		All occ	79594.793243	3	All occupations	5	0
00-0000	1.C.1.b	Persistence	71.426335514		All occ	24709.381185	0	All occupations	1	0
00-0000	1.C.1.b	Persistence	66.03788327		All occ	19629.449793	1	All occupations	1	0
00-0000	1.C.1.b	Persistence	61.675009143		All occ	20104.678912	2	All occupations	1	0
00-0000	1.C.1.b	Persistence	55.832280449		All occ	19725.068036	3	All occupations	1	0
00-0000	1.C.1.b	Persistence	80.104205982		All occ	35895.167076	0	All occupations	2	0
00-0000	1.C.1.b	Persistence	74.700803122		All occ	29110.89958	1	All occupations	2	0
00-0000	1.C.1.b	Persistence	69.48174398		All occ	28892.89454	2	All occupations	2	0
00-0000	1.C.1.b	Persistence	62.70429697		All occ	26791.063442	3	All occupations	2	0
00-0000	1.C.1.b	Persistence	84.373272592		All occ	46972.843005	0	All occupations	3	0
00-0000	1.C.1.b	Persistence	79.854905727		All occ	41163.564532	1	All occupations	3	0
00-0000	1.C.1.b	Persistence	76.860243215		All occ	41108.045247	2	All occupations	3	0
00-0000	1.C.1.b	Persistence	71.343891747		All occ	41511.628207	3	All occupations	3	0
00-0000	1.C.1.b	Persistence	88.356025419		All occ	66479.404274	0	All occupations	4	0
00-0000	1.C.1.b	Persistence	84.379690976		All occ	70871.885932	1	All occupations	4	0
00-0000	1.C.1.b	Persistence	80.242105397		All occ	79323.346925	2	All occupations	4	0
00-0000	1.C.1.b	Persistence	74.877158653		All occ	65542.198294	3	All occupations	4	0
00-0000	1.C.1.b	Persistence	90.292694235		All occ	81940.194618	0	All occupations	5	0
00-0000	1.C.1.b	Persistence	86.347689098		All occ	104163.64509	1	All occupations	5	0
00-0000	1.C.1.b	Persistence	83.652474738		All occ	80050.190463	2	All occupations	5	0
00-0000	1.C.1.b	Persistence	78.649171993		All occ	89901.939422	3	All occupations	5	0
00-0000	1.C.1.c	Initiative	74.230982248		All occ	23294.196398	0	All occupations	1	0
00-0000	1.C.1.c	Initiative	70.754090647		All occ	20963.72345	1	All occupations	1	0
00-0000	1.C.1.c	Initiative	66.38454272		All occ	19664.623529	2	All occupations	1	0
00-0000	1.C.1.c	Initiative	60.049981415		All occ	19880.976858	3	All occupations	1	0
00-0000	1.C.1.c	Initiative	82.150207874		All occ	29828.087019	0	All occupations	2	0
00-0000	1.C.1.c	Initiative	75.813960293		All occ	30240.746524	1	All occupations	2	0
00-0000	1.C.1.c	Initiative	72.114129064		All occ	28270.998638	2	All occupations	2	0
00-0000	1.C.1.c	Initiative	66.386193589		All occ	29110.917421	3	All occupations	2	0
00-0000	1.C.1.c	Initiative	86.525919788		All occ	49342.380918	0	All occupations	3	0
00-0000	1.C.1.c	Initiative	82.499984625		All occ	41479.444931	1	All occupations	3	0
00-0000	1.C.1.c	Initiative	79.956383867		All occ	41611.121689	2	All occupations	3	0
00-0000	1.C.1.c	Initiative	73.358717339		All occ	38567.105788	3	All occupations	3	0
00-0000	1.C.1.c	Initiative	88.948246365		All occ	66876.681631	0	All occupations	4	0
00-0000	1.C.1.c	Initiative	86.421734959		All occ	76434.45744	1	All occupations	4	0
00-0000	1.C.1.c	Initiative	83.541329456		All occ	69706.790086	2	All occupations	4	0
00-0000	1.C.1.c	Initiative	78.647322602		All occ	69415.09752	3	All occupations	4	0
00-0000	1.C.1.c	Initiative	92.851144723		All occ	92428.300896	0	All occupations	5	0
00-0000	1.C.1.c	Initiative	89.162162371		All occ	88281.56449	1	All occupations	5	0
00-0000	1.C.1.c	Initiative	85.630151141		All occ	88712.153597	2	All occupations	5	0
00-0000	1.C.1.c	Initiative	79.934628965		All occ	91662.405343	3	All occupations	5	0
00-0000	1.C.2.b	Leadership	69.050879961		All occ	20633.385494	0	All occupations	1	0
00-0000	1.C.2.b	Leadership	63.321090513		All occ	21110.576035	1	All occupations	1	0
00-0000	1.C.2.b	Leadership	58.850485981		All occ	19733.030587	2	All occupations	1	0
00-0000	1.C.2.b	Leadership	49.321904918		All occ	22164.378265	3	All occupations	1	0
00-0000	1.C.2.b	Leadership	81.335908451		All occ	36173.09806	0	All occupations	2	0
00-0000	1.C.2.b	Leadership	69.431027205		All occ	26127.374277	1	All occupations	2	0
00-0000	1.C.2.b	Leadership	63.64571304		All occ	29510.509405	2	All occupations	2	0
00-0000	1.C.2.b	Leadership	53.112547105		All occ	28421.718269	3	All occupations	2	0
00-0000	1.C.2.b	Leadership	83.520647516		All occ	47150.07127	0	All occupations	3	0
00-0000	1.C.2.b	Leadership	75.083519886		All occ	39920.288061	1	All occupations	3	0
00-0000	1.C.2.b	Leadership	68.956844567		All occ	40603.67342	2	All occupations	3	0
00-0000	1.C.2.b	Leadership	63.102552644		All occ	40135.629375	3	All occupations	3	0
00-0000	1.C.2.b	Leadership	88.949878265		All occ	73688.47726	0	All occupations	4	0
00-0000	1.C.2.b	Leadership	80.368322925		All occ	71378.224428	1	All occupations	4	0
00-0000	1.C.2.b	Leadership	75.167367899		All occ	68809.190081	2	All occupations	4	0
00-0000	1.C.2.b	Leadership	67.461306043		All occ	67568.685289	3	All occupations	4	0
00-0000	1.C.2.b	Leadership	91.739599815		All occ	93880.840637	0	All occupations	5	0
00-0000	1.C.2.b	Leadership	82.836173713		All occ	86777.182801	1	All occupations	5	0
00-0000	1.C.2.b	Leadership	76.951486983		All occ	94154.92134	2	All occupations	5	0
00-0000	1.C.2.b	Leadership	69.162656859		All occ	76725.276464	3	All occupations	5	0
00-0000	1.C.3.a	Cooperation	85.758113021		All occ	20562.284691	0	All occupations	1	0
00-0000	1.C.3.a	Cooperation	82.254078017		All occ	19795.590525	1	All occupations	1	0
00-0000	1.C.3.a	Cooperation	75.186752838		All occ	22892.169229	2	All occupations	1	0
00-0000	1.C.3.a	Cooperation	68.186101724		All occ	21612.421759	3	All occupations	1	0
00-0000	1.C.3.a	Cooperation	88.728730592		All occ	27737.894416	0	All occupations	2	0
00-0000	1.C.3.a	Cooperation	81.944435526		All occ	32673.404206	1	All occupations	2	0
00-0000	1.C.3.a	Cooperation	77.468146173		All occ	27896.637408	2	All occupations	2	0
00-0000	1.C.3.a	Cooperation	71.649028398		All occ	31926.262193	3	All occupations	2	0
00-0000	1.C.3.a	Cooperation	91.609153553		All occ	39025.292902	0	All occupations	3	0
00-0000	1.C.3.a	Cooperation	86.03750651		All occ	46202.77577	1	All occupations	3	0
00-0000	1.C.3.a	Cooperation	81.157195902		All occ	42940.854399	2	All occupations	3	0
00-0000	1.C.3.a	Cooperation	75.281619136		All occ	42347.692597	3	All occupations	3	0
00-0000	1.C.3.a	Cooperation	92.311095331		All occ	62082.029795	0	All occupations	4	0
00-0000	1.C.3.a	Cooperation	86.529169305		All occ	66334.053398	1	All occupations	4	0
00-0000	1.C.3.a	Cooperation	82.623737497		All occ	78881.551706	2	All occupations	4	0
